site name,latitude,longitude,number of nearby carwashes,distance from nearest carwash,rating of nearest carwash,user rating count for nearest carwash
"Cajun Clean , 2240 Denny Ave , Pascagoula , MS , 39567",30.3703765,-88.5403641,1,0.85 miles,N/A,N/A
"Cajun Clean Gautier , 2235 US-90 , Gautier , MS , 39553",30.3903613,-88.6456867,3,0.04 miles,5,1
"Calhoun , 460 Hwy 53 , Calhoun , GA , 30701",34.4761289,-84.9279642,3,0.33 miles,3.3,24
"Caliber  Snellville , 3445 Centerville Hwy , Snellville , GA , 30039",33.8057888,-84.0438812,1,0.14 miles,4.1,280
"Caliber - Smyrna , 1047 Windy Hill Rd SE , Smyrna , GA , 30080",33.8947479,-84.522937,2,0.27 miles,5,2
"Caliber Fort Walton Beach - Eglin , 162 Eglin Pkwy NE , Fort Walton Beach , FL , 32548",30.420582,-86.610182,4,0.07 miles,3.9,173
"Caliber Inverness , 2001 Hwy 44 W , Inverness , FL , 34453",28.83717,-82.3558067,1,0.89 miles,N/A,N/A
"Canon City , 3110 E Main St , Canon City , CO , 81212",38.4465114,-105.1920275,3,0.78 miles,4.5,86
"Canton Auto Wash , 45425 Michigan Ave , Canton , MI , 48188",42.2709544,-83.4855644,1,0.21 miles,4.5,121
"Capitol Car Wash , 3125 Airport Rd , Pierre , SD , 57501",44.3818768,-100.3122439,1,0.50 miles,4.2,120
"Car Wash Cafe , 3050 N University Dr , Sunrise , FL , 33322",26.16378,-80.256261,2,0.42 miles,4.4,2178
"Car Wash Mt Washington , 159 Spring Place Dr , Mount Washington , KY , 40047",38.050452,-85.5360221,5,0.24 miles,3.9,33
"Car Wash Palace , 4600 Coral Ridge Drive , Coral Springs , FL , 33067",26.2879905,-80.2832717,3,0.85 miles,3,2
"Carisma Car Wash , 2407 W Dickinson Blvd , Fort Stockton , TX , 79735",30.8937579,-102.9062363,0,N/A,N/A,N/A
"Carl's Wash , 1538 Sam's Cir , Chesapeake , VA , 23320",36.7780402,-76.2326628,0,N/A,N/A,N/A
"Carmel Car Wash 2 , 5780 Eldorado Pkwy , Frisco , TX , 75034",33.1755783,-96.835992,1,0.70 miles,5,47
"Carmel Car Wash 3 , 2003 S Goliad St , Rockwall , TX , 75087",32.9118499,-96.4511337,5,0.13 miles,2.6,16
"Carmel Car Wash 4 , 9115 Garland Rd , Dallas , TX , 75218",32.829392,-96.7083676,1,0.97 miles,4.9,799
"Carmel Mtn Ranch , 11030 Rancho Carmel Dr , San Diego , CA , 92128",32.9771906,-117.0832388,5,0.01 miles,3.3,37
"Carriage Wash , 3510 W Cactus Road , Phoenix , AZ , 85029",33.596976,-112.134693,5,0.00 miles,4.6,65
"Carroll Clean Owings Mills , 11260 Dolfield Blvd , Owings Mills , MD , 21117",39.4234521,-76.8069044,3,0.09 miles,3,129
"Cartersville , 1330 Joe Frank Harris Pkwy SE , Cartersville , GA , 30120",34.2071766,-84.8163398,6,0.03 miles,N/A,N/A
"Cartersville , 9 Hillview Ave NE , Cartersville , GA , 30121",34.2065892,-84.8002252,5,0.72 miles,4,1
"Caruso's Car Care , 49567 Hayes Rd , Shelby Township , MI , 48315",42.6607964,-82.9751466,4,0.85 miles,4.6,865
"Castaway Car Wash , 1686 S 8th St , Fernandina Beach , FL , 32034",30.6479175,-81.4592685,7,0.43 miles,N/A,N/A
"Cave Springs , 1125 Cave Springs Blvd , St. Peters , MO , 63376",38.7895251,-90.5717775,3,0.33 miles,2,19
"Cedar Hill , 619 E Belt Line Rd , Cedar Hill , TX , 75104",32.592469,-96.9329821,3,0.41 miles,4.7,3574
"Cedar Place , 1398 S Wadsworth Blvd , Lakewood , CO , 80232",39.6917543,-105.081269,5,0.03 miles,5,2
"Cedar Town , 1559 Rome Hwy , Cedartown , GA , 30125",34.045311,-85.2369717,0,N/A,N/A,N/A
"Chamblee , 2764 Chamblee Tucker Rd , Atlanta , GA , 30341",33.8813367,-84.275331,1,0.88 miles,3.2,52
"Champion - Old Hickory , 1432 Robinson Rd , Old Hickory , TN , 37138",36.2568948,-86.6562578,0,N/A,N/A,N/A
"Champion CW - HENDER , 1159 W Main St , Hendersonville , TN , 37075",36.3085083,-86.6632137,3,0.01 miles,4.3,199
"Champion CW - PLVIEW , 101 Ren Mar Dr , Pleasant View , TN , 37146",36.397869,-87.030783,1,0.01 miles,3.7,3
"Champion Car Wash , 930 Old US Hwy 1 , Southern Pines , NC , 28387",35.1677913,-79.4033042,2,0.71 miles,3.9,198
"Champions CW , 20118 Stone Oak Parkway , San Antonio , TX , 78258",29.6260576,-98.4953595,2,0.12 miles,3.6,21
"Champs Car Wash , 775 N Mustang Rd , Tuttle , OK , 73089",35.3019905,-97.7245565,0,N/A,N/A,N/A
"Charlee's Car Wash , 6283 Turner Lake Rd NW , Covington , GA , 30014",33.603784,-83.8760919,2,0.72 miles,5,1
"Chemical Guys Car Wash , 21003 Bloomfield Ave , Lakewood , CA , 90715",33.8383024,-118.0637524,1,0.58 miles,4.4,464
"Chestnut St , 4601 Chestnut St , Philadelphia , PA , 19139",39.9574264,-75.2134759,5,0.04 miles,3.6,12
"Chickering Road N. Andover , 564 Chickering Rd , North Andover , MA , 1845",42.6962801,-71.1195356,1,0.01 miles,4.1,96
"Clarksville , 1606 Haynes St , Clarksville , TN , 37043",36.515143,-87.315686,1,0.10 miles,4.6,292
"Classic Auto Wash , 289 N Comrie Ave , Johnstown , NY , 12095",43.0191956,-74.3623202,0,N/A,N/A,N/A
"Classic Touch Car Wash , 2758 Reynolda Rd , Winston-Salem , NC , 27106",36.1419993,-80.2981219,3,0.10 miles,3.4,42
"ClassicCarWashRI.com , 1125 Cranston St , Cranston , RI , 2920",41.7957252,-71.4497418,7,0.39 miles,5,2
"Classie Express Wash , 510 E Broadway , Louisville , KY , 40202",38.2447418,-85.7450025,0,N/A,N/A,N/A
"Clean Car Wash , 3975 N Federal Hwy , Boca Raton , FL , 33431",26.3856757,-80.0769684,4,0.33 miles,4.5,1002
"Clean N Shine , 535 W Arapaho Rd , Richardson , TX , 75080",32.9626502,-96.7375946,2,0.60 miles,4,267
"Clean Wave Express Carwash , 11031 Los Alamitos Blvd , Los Alamitos , CA , 90720",33.8026037,-118.0723499,2,0.58 miles,5,2
"Clean Wheels , 3919 Cheyenne Street , Cheyenne , WY , 82001",41.1469765,-104.7615591,2,0.29 miles,4.4,400
"ClearWater - Burleson , 279 NW John Jones Dr , Burleson , TX , 76028",32.523754,-97.3526833,2,0.19 miles,4.5,176
"ClearWater - Cleburne , 809 W Henderson St , Cleburne , TX , 76033",32.3440449,-97.3974471,7,0.29 miles,4.5,222
"ClearWater - Conroe , 610 N Loop 336 W , Conroe , TX , 77301",30.3370818,-95.4653668,9,0.12 miles,4,114
"ClearWater - Conroe 105 , 14667 Hwy 105 West , Montgomery , TX , 77356",30.3539021,-95.5851161,1,0.29 miles,4.1,101
"ClearWater - Cypress , 14248 Spring Cypress Rd , Cypress , TX , 77429",30.0018656,-95.6393511,3,0.19 miles,4.4,51
"ClearWater - Houston 249 , 6421 West Rd , Houston , TX , 77086",29.9123294,-95.4837309,5,0.14 miles,4.9,1476
"ClearWater - Katy , 902 Katy Fort Bend Rd , Katy , TX , 77494",29.7874829,-95.8011505,7,0.71 miles,4.8,348
"ClearWater - Magnolia , 14206 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2243894,-95.68431,2,0.26 miles,3,2
"ClearWater - McKinney , 5271 W University Dr , McKinney , TX , 75071",33.2177834,-96.6833838,2,0.01 miles,N/A,N/A
"ClearWater - Tamina , 7424 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2213547,-95.5821994,6,0.13 miles,2.4,7
"ClearWater - Terrell , 250 Crossroads Pkwy , Terrell , TX , 75160",32.7175697,-96.3216903,2,0.72 miles,4,112
"ClearWater - Westgreen , 1225 Westgreen Blvd , Katy , TX , 77450",29.7865672,-95.7361874,3,0.80 miles,N/A,N/A
"ClearWater - Willis East , 111 Holland St , Willis , TX , 77378",30.4229852,-95.4861172,4,0.24 miles,4.6,30
"ClearWater - Woodforest , 768 Fish Creek Thoroughfare , Montgomery , TX , 77316",30.2760842,-95.5691024,2,0.51 miles,N/A,N/A
"Clearview Car Wash East Tawas , 1748 US-23 , East Tawas , MI , 48730",44.2909221,-83.4528286,0,N/A,N/A,N/A
"Clearview Car Wash Oscoda , 5232 N U.S. 23 , Oscoda , MI , 48750",44.432142,-83.3297029,0,N/A,N/A,N/A
"Clearview Car Wash Ripley , 135 S Ripley St , Alpena , MI , 49707",45.0606433,-83.4526433,5,0.86 miles,N/A,N/A
"Clearview Car Wash State Street , 105 Mason St , Alpena , MI , 49707",45.0475512,-83.4484188,2,0.92 miles,4.5,238
"Cliff's Car Wash #2 , 3690 Riverdale Rd , Ogden , UT , 84405",41.1963292,-111.9745049,2,0.20 miles,4.2,71
"Cliff's Car Wash , 3536 W 4800 S , Roy , UT , 84067",41.1768773,-112.0653939,3,0.02 miles,4.4,89
"Cliff's Harrison , 5680 South Harrision Blvd , Ogden , UT , 84403",41.1859156,-111.8926303,0,N/A,N/A,N/A
"Coastal Car Wash , 9123 Ocean Hwy , Pawleys Island , SC , 29585",33.4294467,-79.1482494,0,N/A,N/A,N/A
"Coastline Express , 4447 Main St , Shallotte , NC , 28470",33.984025,-78.3666889,2,0.33 miles,2.2,6
"Collins , 7059 Collins Rd , Jacksonville , FL , 32244",30.2047926,-81.7596368,0,N/A,N/A,N/A
"Collins , 7780 Blanding Blvd , Jacksonville , FL , 32244",30.2059536,-81.7402427,2,0.62 miles,N/A,N/A
"Colonial Express , 11021 Colonial Blvd , Fort Myers , FL , 33913",26.6163409,-81.773508,2,0.46 miles,4,623
"Columbus , 3498 Victory Dr , Columbus , GA , 31903",32.4236872,-84.9480396,1,0.37 miles,4.5,50
"Complete Auto Detail , 1516 W 5th St , Austin , TX , 78703",30.2738181,-97.7628712,1,0.96 miles,3.7,409
"Conway - Old Morrilton Hwy , 1505 Old Morrilton Hwy , Conway , AR , 72032",35.1113002,-92.4448947,1,0.72 miles,2.7,20
"Cool Clean Car Wash , 1255 W Palmetto Park Rd , Boca Raton , FL , 33486",26.3514227,-80.1112943,1,0.69 miles,3,2
"Cool River Express Car Wash , 11287 FM 1464 Rd , Richmond , TX , 77407",29.6492029,-95.6788285,0,N/A,N/A,N/A
"Coors , 5401 Sevilla Ave NW , Albuquerque , NM , 87120",35.1411474,-106.6991857,0,N/A,N/A,N/A
"Copper Gate , Copper Gate Drive , Middleburg , FL , 32068",30.1070223,-81.8242866,1,0.88 miles,N/A,N/A
"Coral Springs Car Wash , 10610 Wiles Rd , Coral Springs , FL , 33076",26.2867203,-80.2679959,2,0.16 miles,3,2
"Coralville , 800 2nd St , Coralville , IA , 52241",41.6716563,-91.5754899,1,0.85 miles,5,9
"Corinth , 2210 S Harper Rd , Corinth , MS , 38834",34.9120866,-88.5034177,4,0.20 miles,3.4,35
"Costa Verde , 8505 Costa Verde Blvd , San Diego , CA , 92122",32.8670133,-117.2158789,2,0.63 miles,4.5,2
"Covington , 29 Robbins Rd , Covington , TN , 38019",35.5436772,-89.663502,0,N/A,N/A,N/A
"Cranston Car Wash , 1405 Cranston Rd , Beloit , WI , 53511",42.5326596,-89.0211818,2,0.48 miles,N/A,N/A
"Crown America , 5450 South St , Lakewood , CA , 90712",33.8599152,-118.1262913,3,0.91 miles,4.1,41
"Cruiser's Corner Car Wash , 17405 SW Farmington Rd , Aloha , OR , 97007",45.4808588,-122.8567288,4,0.73 miles,4.9,73
"Crystal Clean Auto Spa , 75 Old HWY 96 , Bonaire , GA , 31005",32.5488135,-83.5955388,0,N/A,N/A,N/A
"DAVID CHEVROLET , 10225 Niagara Falls Blvd , Niagara Falls , NY , 14304",43.0986208,-78.9422278,1,0.10 miles,4.2,63
"DON'S EXPRESS CARWASH , 200 Waldon Rd , Harlan , KY , 40831",36.8192661,-83.3184822,1,0.66 miles,5,1
"Dallas Kwik-Mart , 2384 Memorial Highway , Dallas , PA , 18612",41.3313887,-75.9536603,3,0.02 miles,N/A,N/A
"Damon , 2930 Damon Ave , San Diego , CA , 92109",32.8089381,-117.2184869,2,0.33 miles,4.5,83
"Davie's Auto Spa , 5555 SOUTH UNIVERSITY DR , DAVIE , FL , 33328",26.0513952,-80.2524531,0,N/A,N/A,N/A
"Daybreak Market , 19701 Cochran Blvd , Port Charlotte , FL , 33948",27.0167144,-82.1334659,5,0.11 miles,4.9,2034
"Deep Clean Car Wash , 1220 US-80 , Bloomingdale , GA , 31302",32.103128,-81.224031,0,N/A,N/A,N/A
"Del Mar Highlands , 12889 El Camino Real , San Diego , CA , 92130",32.9518773,-117.2335892,3,0.44 miles,2.9,50
"Delta , 1201 Valley View Dr , Delta , CO , 81416",38.751272,-108.055851,2,0.64 miles,3.9,113
"Detricks 544 , 2261 Dick Pond Rd , Myrtle Beach , SC , 29575",33.6427296,-78.9724233,2,0.54 miles,4.9,263
"Detricks Conway , 2280 Church St , Conway , SC , 29526",33.85278,-79.0754414,2,0.91 miles,4.1,181
"Detricks Glenforest , 1036 Glenforest Rd , Myrtle Beach , SC , 29579",33.7547775,-78.9635923,4,0.35 miles,1,5
"Diamond Express , 1801 Lander Ave , Turlock , CA , 95380",37.475985,-120.8494004,1,0.32 miles,5,15
"Dickerson Pike , 3855 Dickerson Pike , Nashville , TN , 37207",36.2682727,-86.75552,1,0.02 miles,4.2,104
"Dickson City , 901 Commerce Blvd , Dickson City , PA , 18519",41.4631746,-75.6419431,3,0.29 miles,4.7,105
"Dickys Bluffton , 1930 N Main St , Bluffton , IN , 46714",40.7705245,-85.166528,1,0.24 miles,4,104
"Dickys Decatur , 1022 S 13th St , Decatur , IN , 46733",40.818633,-84.939277,3,0.16 miles,4.1,8
"Dickys Huntington , 2600 Walmart Dr , Huntington , IN , 46750",40.898213,-85.5135535,5,0.06 miles,N/A,N/A
"Dino Dash Dixie , 575 N Dixie Dr , St. George , UT , 84770",37.1186711,-113.6241306,3,0.36 miles,3.9,44
"Dino Dash Riverside , 2054 E Riverside Dr , St. George , UT , 84790",37.0989689,-113.5384213,4,0.16 miles,4.2,220
"Dirty Dave's Car Wash , 24410 Sandhill Blvd , Punta Gorda , FL , 33983",27.023336,-82.0440733,1,0.69 miles,N/A,N/A
"Dix Hill Car Wash , 1232 E Jericho Turnpike , Huntington , NY , 11743",40.8324061,-73.3611131,0,N/A,N/A,N/A
"Dog House Auto Spa , 731 W Rogers Blvd , Skiatook , OK , 74070",36.3682186,-96.0117013,1,0.46 miles,3.8,147
"Dolphin Auto Spa , 6240 Collier Blvd , Naples , FL , 34114",26.0494098,-81.6992111,1,0.57 miles,1,1
"Dolphin Xpress , 35928 US Hwy 19 N , Palm Harbor , FL , 34684",28.0990069,-82.740646,0,N/A,N/A,N/A
"Douglasville , 9249 GA-5 , Douglasville , GA , 30134",33.7305514,-84.7627973,2,0.49 miles,4.2,523
"Drip Auto Spa , 8955 Indianapolis Blvd , Highland , IN , 46322",41.5502588,-87.4710443,1,0.55 miles,4.5,609
"Drive Thru Express , 590 N Magnolia Ave , Anaheim , CA , 92801",33.8393509,-117.9756074,7,0.58 miles,3.5,28
"Druid Hills , 2024 N Druid Hills Rd NE , Atlanta , GA , 30329",33.8338762,-84.3390453,4,0.02 miles,N/A,N/A
"Dunn , 1555 Dunn Ave , Jacksonville , FL , 32218",30.4304731,-81.671853,1,0.79 miles,3.4,7
"Durango , 780 S Camino Del Rio , Durango , CO , 81301",37.243331,-107.870827,1,0.38 miles,3.5,268
"Durbin , 786 Durbin Pavilion Dr , Saint Johns , FL , 32259",30.0954166,-81.5217602,0,N/A,N/A,N/A
"Durham , 3404 N Roxboro St , Durham , NC , 27704",36.035489,-78.8923515,2,0.30 miles,3.9,13
"E. Plaza , 2207 E Plaza Blvd , National City , CA , 91950",32.6783468,-117.0830861,8,0.24 miles,N/A,N/A
"ENGLEWOOD CAR WASH , 287 S Indiana Ave , Englewood , FL , 34223",26.9574044,-82.3525366,0,N/A,N/A,N/A
"EXPRESS AUTO WASH , 7167 NY-54 , Bath , NY , 14810",42.3490756,-77.3089603,2,0.92 miles,4.8,45
"EXPRESSWAY 55 , 800 Motor Pkwy , Brentwood , NY , 11717",40.8056032,-73.2336104,1,0.76 miles,1,2
"East Central , 10705 Central Ave NE , Albuquerque , NM , 87123",35.0719902,-106.5278425,4,0.28 miles,5,1
"Eastlake , 13509 Eastlake Blvd , El Paso , TX , 79928",31.6986017,-106.2213483,1,0.99 miles,3.9,235
"Edge Express Cary , 100 Crescent Commons , Cary , NC , 27518",35.7349446,-78.7792655,0,N/A,N/A,N/A
"Edge Express Dumfries , 17000 Jefferson Davis Hwy , Dumfries , VA , 22026",38.5826316,-77.3107949,4,0.16 miles,2.9,19
"Edge Express Garner , 4717 NC-42 , Garner , NC , 27529",35.6108709,-78.5531604,2,0.88 miles,5,29
"Edge Express Morrisville , 1004 Morrisville Carpenter Rd , Morrisville , NC , 27560",35.8196439,-78.8442563,3,0.30 miles,3,3
"Edge Express Rock Hill , 2457 Cross Pointe Dr , Rock Hill , SC , 29730",34.9412626,-80.958123,3,0.32 miles,5,1
"Edge Express Shelby , 925 E Dixon Blvd , Shelby , NC , 28152",35.2744626,-81.5270426,2,0.07 miles,4.4,154
"Edge Express Shelby 2 , 1696 E Dixon Blvd , Shelby , NC , 28152",35.2728672,-81.5051658,2,0.01 miles,N/A,N/A
"Edge Express Stafford , 110 Patriot Crossing Drive , Stafford , VA , 22554",38.4695769,-77.4537988,0,N/A,N/A,N/A
"Edgewood , 3 NM Hwy 344 , Edgewood , NM , 87015",35.1482669,-106.1914196,0,N/A,N/A,N/A
"El Centro , 1351 N Imperial Ave , El Centro , CA , 92243",32.7972365,-115.5680323,6,0.49 miles,4.1,582
"El Paso Alameda , 5509 Alameda Ave , El Paso , TX , 79905",31.768919,-106.4236245,2,0.14 miles,N/A,N/A
"El Paso Gateway , 10644 Gateway N Blvd , El Paso , TX , 79924",31.9214199,-106.439564,2,0.13 miles,5,151
"Elks Edge , 547 CC Camp Rd , Elkin , NC , 28621",36.2787554,-80.8330241,2,0.62 miles,4.2,40
"Emerson , 3120 Emerson St , Jacksonville , FL , 32207",30.2850705,-81.6420637,1,0.58 miles,4.4,643
"Encinitas Car Wash , 293 N El Camino Real , Encinitas , CA , 92024",33.0538338,-117.2613277,5,0.27 miles,3.8,100
"Escondido , 862 N Broadway , Escondido , CA , 92025",33.1318559,-117.0848142,9,0.02 miles,N/A,N/A
"Espanola , 1319 N Riverside Dr , Espanola , NM , 87532",36.0111124,-106.0636052,3,0.14 miles,4,8
"Evanston Car Wash , 2416 Dempster St , Evanston , IL , 60202",42.0406272,-87.7078582,5,0.18 miles,3.4,395
"Evergreen Car Wash , 3303 San Felipe Rd , San Jose , CA , 95135",37.3135065,-121.7918629,6,0.06 miles,4.1,149
"Express Auto Wash  Coquitlam , 1035 Lougheed Hwy. , Coquitlam , BC , V3K 6N5",49.2361476,-122.8673316,5,0.33 miles,3.9,1535
"Express Auto Wash Surrey , 2337 King George Blvd , Surrey , BC , V4A 5A4",49.0441816,-122.7928262,4,0.06 miles,4.9,307
"Express Car Wash Dalby , 6653 Dalby Dr , Colorado Springs , CO , 80923",38.927017,-104.720108,2,0.83 miles,4.1,279
"Express Car Wash Fillmore , 301 E Fillmore St , Colorado Springs , CO , 80907",38.8739468,-104.8176593,3,0.32 miles,4.9,333
"Express Car Wash Republic , 1378 Republic Dr , Colorado Springs , CO , 80921",38.9892008,-104.7987938,4,0.26 miles,3.5,8
"Express On Vaughn , 6870 Vaughn Rd , Montgomery , AL , 36116",32.3392561,-86.196721,0,N/A,N/A,N/A
"Express Pro Carwash Auburn , 44 Auburn Run Ln , Auburn , GA , 30011",34.0109399,-83.8446602,3,0.08 miles,3.4,5
"Express Tunnel Carwash , 63 Durham St , Bathurst , NSW , 2795",-33.4162632,149.5841011,5,0.13 miles,4.5,82
"Express Wash Central , 445 Florida Central Pkwy , Longwood , FL , 32750",28.6973021,-81.3523671,3,0.24 miles,1.8,5
"Express Wash Kissimmee , 1095 Amber Pointe Blvd , Kissimmee , FL , 34744",28.280829,-81.344289,2,0.14 miles,4.9,731
"Express Wash Lakeland , 5430 Florida Ave S , Lakeland , FL , 33813",27.9665149,-81.9645933,3,0.50 miles,3.5,996
"Extreme Express , 655 W San Carlos St , San Jose , CA , 95126",37.3247774,-121.9010508,6,0.30 miles,4.5,47
"FASTLANE EXPRESS CAR WASH , 924 E 30th Ave , Hutchinson , KS , 67502",38.087,-97.9111,2,0.34 miles,3.4,38
"FLAVO_N.Hwy27 , 1101 US-27 , Avon Park , FL , 33825",27.608686,-81.515066,1,0.09 miles,5,122
"FLKIS_W.IrloBronson , 9190 W Irlo Bronson Memorial Hwy , Kissimmee , FL , 34747",28.3463636,-81.6570005,2,0.01 miles,4.5,424
"FLLAK_Hwy27 , 23461 US-27 , Lake Wales , FL , 33859",27.9519851,-81.6185727,1,0.02 miles,4.6,520
"FLORL_Narcoossee , 14418 Narcoossee Rd , Orlando , FL , 32832",28.3580396,-81.242638,1,0.00 miles,4.5,872
"FLOVI_Alafaya , 2971 Alafaya Trail , Oviedo , FL , 32765",28.6285602,-81.2070719,1,0.04 miles,N/A,N/A
"FLWIN_W.Colonial , 14580 W Colonial Dr , Winter Garden , FL , 34787",28.5504767,-81.6013087,1,0.00 miles,4.7,619
"Fairborn Car Wash , 1052 Kauffman Ave , Fairborn , OH , 45324",39.8098171,-84.0258805,2,0.19 miles,1,2
"Fairhope , 20310 AL-181 , Fairhope , AL , 36532",30.521774,-87.8517334,0,N/A,N/A,N/A
"Falcon , 10150 Walker St , Lenexa , KS , 66220",38.943868,-94.8146729,0,N/A,N/A,N/A
"Fast Lap Car Wash , 3830 N 51st Ave , Phoenix , AZ , 85031",33.4926742,-112.1692768,6,0.15 miles,4.1,399
"Fast N Furious , 2804 Ring Rd , Elizabethtown , KY , 42701",37.7217237,-85.8389491,2,0.38 miles,3.7,39
"Fast Pass Car Wash , 638 North H Street , Lompoc , CA , 93436",34.6486028,-120.4570624,5,0.13 miles,3.6,87
"Fast Trac , 550 Maxham Rd , Austell , GA , 30168",33.7898643,-84.6215341,4,0.35 miles,5,2
"Fenton , 3709 Owen Rd , Fenton , MI , 48430",42.7891069,-83.7442545,3,0.11 miles,3.8,291
"Fernandina Beach , 474339 SR 200 , Fernandina Beach , FL , 32034",30.61808,-81.514613,2,0.08 miles,5,1
"Fine N Shine , 1304 TX-121 , Bonham , TX , 75418",33.5867548,-96.1921253,4,0.41 miles,3.6,20
"Firehose Car Wash , 1269 E 17th St , Idaho Falls , ID , 83404",43.482717,-112.009137,2,0.83 miles,4,173
"Five Star Boone , 1200 Blowing Rock Rd , Boone , NC , 28607",36.2034723,-81.6668446,4,0.08 miles,4.4,353
"Five Star Gate City , 3803 W Gate City Blvd , Greensboro , NC , 27407",36.0379188,-79.8555348,3,0.49 miles,4.1,102
"Five Star Statesville , 117 Turnersburg Hwy , Statesville , NC , 28625",35.8085295,-80.8764773,1,0.06 miles,2.5,34
"Flawless Auto Bath Inc , 380 PORT RICHMOND AVE , STATEN ISLAND , NY , 10302",40.6327981,-74.1375528,6,0.49 miles,3.9,160
"Fleming Island , 1725 Eagle Harbor Pkwy , Fleming Island , FL , 32003",30.1027697,-81.7048645,1,0.32 miles,4.2,82
"Flex Wash , 1285 U.S. 31 N , Petoskey , MI , 49770",45.3896578,-84.9129299,1,0.26 miles,4.3,471
"Florence , 2339 David H McLeod Blvd , Florence , SC , 29501",34.1874969,-79.8197635,7,0.30 miles,1,2
"Floris Car Wash , 3893 McCoy Rd , Orlando , FL , 32812",28.4521313,-81.3344797,0,N/A,N/A,N/A
"Floris Car Wash Econ , 1754 N Econlockhatchee Trail , Orlando , FL , 32825",28.567229,-81.253872,0,N/A,N/A,N/A
"FoamWorks Brunswick , 5200 Altama Ave , Brunswick , GA , 31525",31.2061049,-81.4822407,4,0.56 miles,3.7,24
"FoamWorks Cordele , 1305 16th Ave E , Cordele , GA , 31015",31.9624515,-83.7617001,4,0.76 miles,N/A,N/A
"FoamWorks Hartley Bridge , 4701 Hartley Bridge Rd , Macon , GA , 31216",32.744358,-83.725563,2,0.46 miles,4.2,13
"FoamWorks Lithia Springs , 369 Westfork Ct , Lithia Springs , GA , 30122",33.7942326,-84.633738,8,0.23 miles,4,3
"FoamWorks Riverside , 4780 Riverside Dr. , Macon , GA , 31201",32.9217734,-83.7107966,0,N/A,N/A,N/A
"FoamWorks Thomaston , 5551 Thomaston Rd. , Macon , GA , 31220",32.8344408,-83.742574,2,0.22 miles,N/A,N/A
"FoamWorks Vidalia , 203 Rigsbee Dr , Vidalia , GA , 30474",32.2110446,-82.3949092,2,0.10 miles,4.5,133
"Foothills Car Wash , 5010 E Ray Rd , Phoenix , AZ , 85044",33.3203882,-111.9759685,3,0.09 miles,4,1
"Ford CarWash , 25535 Ford Rd , Dearborn Heights , MI , 48127",42.326516,-83.28874,3,0.07 miles,4.3,100
"Forest City , 157 Plaza Dr , Forest City , NC , 28043",35.3341532,-81.8970099,3,0.37 miles,4.6,309
"Fort Lauderdale , 1075 W Sunrise Blvd , Fort Lauderdale , FL , 33311",26.136944,-80.157242,6,0.07 miles,5,2
"Fort Smith - Highway 71 , 12114 US-71 , Fort Smith , AR , 72916",35.2690562,-94.3700276,0,N/A,N/A,N/A
"Fort Smith - Massard Rd , 5800 Massard Rd , Fort Smith , AR , 72903",35.3260818,-94.3415391,0,N/A,N/A,N/A
"Frankie's Car Wash Gilbert , 615 W Ray Rd , Gilbert , AZ , 85233",33.3198049,-111.8032966,1,0.27 miles,3.2,5
"Fresh Wash - Braselton , Exchange Way , Braselton , GA , 30517",34.1223755,-83.7642661,1,0.00 miles,4.2,10
"Fresh Wash - Gainesville , 1051 E E Butler Pkwy , Gainesville , GA , 30501",34.2872083,-83.8098315,1,0.86 miles,3.6,14
"Ft Lauderdale , 1080 NW 31st Ave , Fort Lauderdale , FL , 33311",26.1375665,-80.186333,7,0.41 miles,4.4,198
"Ft Walton -Beal , 794 Beal Pkwy NW , Fort Walton Beach , FL , 32547",30.446616,-86.63932,4,0.64 miles,4.4,93
"Ft. Lupton , 120 Copper Pl. , Fort Lupton , CO , 80621",40.08071,-104.801353,2,0.18 miles,3.7,196
"Fullerton Car Wash , 800 N Harbor Blvd , Fullerton , CA , 92832",33.8776855,-117.924175,4,0.43 miles,N/A,N/A
"Fusion Express CarWash , 760 Benetook Ave , Mildura , VIC , 3500",-34.2202301,142.1504211,2,0.70 miles,5,2
"GAWOO_Eagle , 2907 Eagle Dr , Woodstock , GA , 30189",34.113012,-84.5571699,1,0.30 miles,3.9,16
"Galesburg , 334 E Carl Sandburg Dr , Galesburg , IL , 61401",40.9761518,-90.3654388,1,0.98 miles,4.8,141
"Gallo Car Wash , 3020 NW 13th St , Gainesville , FL , 32609",29.680709,-82.339722,4,0.52 miles,3.2,89
"Gallup 49 , 1060 US-491 , Gallup , NM , 87301",35.5382265,-108.7581009,3,0.01 miles,5,1
"Gallup 66 , 1300 E Historic Hwy 66 , Gallup , NM , 87301",35.529778,-108.7220066,2,0.09 miles,4.2,160
"Gardendale , 420 Fieldstown Rd , Gardendale , AL , 35071",33.6522172,-86.8173304,2,0.24 miles,4.9,2509
"Georgetown , 20945 N Dupont Blvd , Georgetown , DE , 19947",38.6892922,-75.3972612,3,0.26 miles,4.1,46
"Glacier Express 24th St , 90 24th St W , Billings , MT , 59102",45.771781,-108.5766853,1,0.17 miles,3.1,14
"Glacier Express King Ave , 1832 King Ave W , Billings , MT , 59102",45.7546524,-108.5632064,3,0.15 miles,3.4,8
