full_site_address,Latitude,Longitude,display_name,actual_latitude,actual_longitude,rating,rating_count,business_status,monday_operational_hours,tuesday_operational_hours,wednesday_operational_hours,thursday_operational_hours,friday_operational_hours,saturday_operational_hours,sunday_operational_hours
"Adore Car Wash , 771-789 Barwon Heads Rd , Armstrong Creek , VIC , 3217",-38.2318383,144.3744484,Adore The Car Wash,-38.2318383,144.3744484,3.2,43,OPERATIONAL,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,Alabaster Car Wash,33.2331449,-86.81162959999999,4.5,128,OPERATIONAL,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,7:30 AM – 7:00 PM,10:00 AM – 5:00 PM
"Aladdin Car Wash , 1616 S 57th St , Temple , TX , 76504",31.088884,-97.3780292,Aladdin Car Wash,31.088884,-97.3780292,4.2,344,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 6:00 PM
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,Champion Xpress Carwash,35.1891633,-106.616062,4.5,609,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,Champion Xpress Carwash,37.4765318,-105.8944942,4.4,260,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",32.2284801,-101.4727633,All American Car Wash,32.2284353,-101.473089,4.2,130,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,9:00 AM – 5:00 PM
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,All American Car Wash,29.7768476,-98.726846,4.3,117,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,9:00 AM – 5:00 PM
"All American Bulverde , 22247 Bulverde Rd , San Antonio , TX , 78259",29.6478912,-98.4270091,All American Car Wash,29.648324000000002,-98.4263623,4.5,40,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,9:00 AM – 5:00 PM
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,All American Car Wash and Express Lube,38.6808632,-87.5201897,4.6,150,OPERATIONAL,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 7:00 PM,8:00 AM – 6:00 PM
"All American Dezavala , 4242 De Zavala Rd , San Antonio , TX , 78249",29.57502,-98.5669201,All American Car Wash,29.574478499999998,-98.56759290000001,4.7,44,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,9:00 AM – 5:00 PM
"All American Kitty Hawk , 1024 Kitty Hawk Rd , Universal City , TX , 78148",29.5453319,-98.3168978,All American Car Wash,29.545266599999998,-98.3172903,4.2,180,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,9:00 AM – 5:00 PM
"All American Ou0027Connor , 11331 Ou0027Connor Rd , San Antonio , TX , 78233",29.560052,-98.3636131,Club Car Wash,29.5488152,-98.37342749999999,4.1,50,OPERATIONAL,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,7:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"All American Vance Jackson , 4343 Vance Jackson Rd , San Antonio , TX , 78230",29.5147542,-98.5357639,All American Car Wash,29.514756100000003,-98.5353007,4.3,115,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,9:00 AM – 5:00 PM
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,All Washed Up Auto Spa,40.2614149,-80.17475019999999,4.7,501,OPERATIONAL,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,All Washed Up Auto Spa,41.120557999999996,-78.758646,4.8,582,OPERATIONAL,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,All Washed Up Auto Spa,40.5336038,-79.8458897,4.7,606,OPERATIONAL,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,All Washed Up Auto Spa,40.281186,-78.8627293,4.8,465,OPERATIONAL,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,All Washed Up Auto Spa,40.4096318,-79.8993024,4.5,845,OPERATIONAL,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,All Washed Up Auto Spa,39.9105773,-79.7474519,4.9,627,OPERATIONAL,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM
"Aloha Car Wash Bothell , 17818 Bothell Everett Hwy , Bothell , WA , 98012",47.8359328,-122.2121577,Aloha Car Wash Company,47.835932799999995,-122.21215769999999,3.9,892,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"Aloha Car Wash Woodinville , 13001 NE 177th Pl , Woodinville , WA , 98072",47.7553696,-122.1661391,Aloha Car Wash Company,47.755369599999995,-122.16613910000001,3.8,295,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"Alpine Express , 2235 Alpine Blvd , Alpine , CA , 91901",32.8352883,-116.7654836,Shell,32.8352903,-116.76550460000001,3.1,31,OPERATIONAL,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
