full_site_address,Latitude,Longitude,car_wash_name,distance_from_nearest_walmart,count_of_walmart_5miles
"Cabot - Willie Ray Dr , 210 Willie Ray Dr , Cabot , AR , 72023",34.9816958,-92.0354003,Splash Car Wash,0.478394051421992,1
"Cajun Clean , 2240 Denny Ave , Pascagoula , MS , 39567",30.3703765,-88.5403641,Cajun Clean Express Car Wash,1.69763345951005,1
"Cajun Clean Gautier , 2235 US-90 , Gautier , MS , 39553",30.3903613,-88.6456867,Cajun Clean Express,,0
"Calhoun , 460 Hwy 53 , Calhoun , GA , 30701",34.4761289,-84.9279642,Dirty Dog's Car Wash Calhoun,1.03427787383654,1
"Caliber Inverness , 2001 Hwy 44 W , Inverness , FL , 34453",28.83717,-82.3558067,Caliber Car Wash,2.65239664399392,1
"Canon City , 3110 E Main St , Canon City , CO , 81212",38.4465114,-105.1920275,Champion Xpress Carwash,0.159940256625123,1
"Capitol Car Wash , 3125 Airport Rd , Pierre , SD , 57501",44.3818768,-100.3122439,Capitol Car Wash,0.115760770865381,1
"Carisma Car Wash , 2407 W Dickinson Blvd , Fort Stockton , TX , 79735",30.8937579,-102.9062363,Carisma Car Wash,0.196971521990601,1
"Carmel Car Wash 3 , 2003 S Goliad St , Rockwall , TX , 75087",32.9118499,-96.4511337,Carmel Car Wash,0.931862724600899,1
"Cartersville , 1330 Joe Frank Harris Pkwy SE , Cartersville , GA , 30120",34.2071766,-84.8163398,LUV Car Wash,1.65983873926426,1
"Cartersville , 9 Hillview Ave NE , Cartersville , GA , 30121",34.2065892,-84.8002252,Mach-1 Express Wash of Cartersville,0.755307376698362,1
"Castaway Car Wash , 1686 S 8th St , Fernandina Beach , FL , 32034",30.6479175,-81.4592685,Castaway Car Wash,4.88332095983532,1
"Cedar Town , 1559 Rome Hwy , Cedartown , GA , 30125",34.045311,-85.2369717,Mach-1 Express Wash Cedartown,0.169244710414275,1
"Champion - Old Hickory , 1432 Robinson Rd , Old Hickory , TN , 37138",36.2568948,-86.6562578,Champion Car Wash,3.99287478944865,2
"Champion CW - HENDER , 1159 W Main St , Hendersonville , TN , 37075",36.3085083,-86.6632137,Advanced Autowash II,1.2864617098658,2
"Champion CW - PLVIEW , 101 Ren Mar Dr , Pleasant View , TN , 37146",36.397869,-87.030783,Champion Car Wash,,0
"Champion Car Wash , 930 Old US Hwy 1 , Southern Pines , NC , 28387",35.1677913,-79.4033042,Champion Car Wash & Detail Shop,1.29425239046199,1
"Champions CW , 20118 Stone Oak Parkway , San Antonio , TX , 78258",29.6260576,-98.4953595,Car Wash,1.77103131061723,1
"Champs Car Wash , 775 N Mustang Rd , Tuttle , OK , 73089",35.3019905,-97.7245565,Champs Car Wash,,0
"Clarksville , 1606 Haynes St , Clarksville , TN , 37043",36.515143,-87.315686,Whitecap Car Wash,2.58325687954137,1
"Classic Auto Wash , 289 N Comrie Ave , Johnstown , NY , 12095",43.0191956,-74.3623202,Classic Auto Wash,1.32317827931337,1
"Clean Wheels , 3919 Cheyenne Street , Cheyenne , WY , 82001",41.1469765,-104.7615591,Clean Wheels Car Wash,1.44195485895244,2
"ClearWater - Burleson , 279 NW John Jones Dr , Burleson , TX , 76028",32.523754,-97.3526833,ClearWater Express Wash,0.910274010339916,2
"ClearWater - Cleburne , 809 W Henderson St , Cleburne , TX , 76033",32.3440449,-97.3974471,ClearWater Express Car Wash,1.05223875649394,1
"ClearWater - Conroe 105 , 14667 Hwy 105 West , Montgomery , TX , 77356",30.3539021,-95.5851161,ClearWater Express Wash,4.44240536805211,1
"ClearWater - Houston 249 , 6421 West Rd , Houston , TX , 77086",29.9123294,-95.4837309,ClearWater Express Wash,0.191243203686353,3
"ClearWater - Magnolia , 14206 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2243894,-95.68431,ClearWater Express Wash,,0
"ClearWater - Willis East , 111 Holland St , Willis , TX , 77378",30.4229852,-95.4861172,ClearWater Express Wash,,0
"Clearview Car Wash East Tawas , 1748 US-23 , East Tawas , MI , 48730",44.2909221,-83.4528286,N/A,,0
"Clearview Car Wash Oscoda , 5232 N U.S. 23 , Oscoda , MI , 48750",44.432142,-83.3297029,Clearview Car Wash,,0
"Clearview Car Wash Ripley , 135 S Ripley St , Alpena , MI , 49707",45.0606433,-83.4526433,Ripley Car Wash,1.20290006211157,1
"Clearview Car Wash State Street , 105 Mason St , Alpena , MI , 49707",45.0475512,-83.4484188,State Street Auto Wash,1.78204080105129,1
"Coastline Express , 4447 Main St , Shallotte , NC , 28470",33.984025,-78.3666889,The RipTide Car Wash,0.416661448846574,1
"Conway - Old Morrilton Hwy , 1505 Old Morrilton Hwy , Conway , AR , 72032",35.1113002,-92.4448947,Splash Car Wash & 10-Minute Oil Change,0.48913563733263,2
"Coors , 5401 Sevilla Ave NW , Albuquerque , NM , 87120",35.1411474,-106.6991857,Champion Xpress Carwash,2.14068472149855,2
"Corinth , 2210 S Harper Rd , Corinth , MS , 38834",34.9120866,-88.5034177,Mach-1 Express Wash of Corinth,0.15635932136214,1
"Covington , 29 Robbins Rd , Covington , TN , 38019",35.5436772,-89.663502,Century Express Carwash - Covington,0.182820251132527,1
"Crystal Clean Auto Spa , 75 Old HWY 96 , Bonaire , GA , 31005",32.5488135,-83.5955388,Crystal Clean Auto Spa,3.0139748086598,1
"DAVID CHEVROLET , 10225 Niagara Falls Blvd , Niagara Falls , NY , 14304",43.0986208,-78.9422278,David Chevrolet Car Wash,1.85335263520675,1
"DON'S EXPRESS CARWASH , 200 Waldon Rd , Harlan , KY , 40831",36.8192661,-83.3184822,Don's Express Car Wash,,0
"Dallas Kwik-Mart , 2384 Memorial Highway , Dallas , PA , 18612",41.3313887,-75.9536603,Dallas kwik-Mart,,0
"Daybreak Market , 19701 Cochran Blvd , Port Charlotte , FL , 33948",27.0167144,-82.1334659,DayBreak Car Wash,0.434549769862701,1
"Delta , 1201 Valley View Dr , Delta , CO , 81416",38.751272,-108.055851,Champion Xpress Carwash,0.19769797893933,1
"Detricks Conway , 2280 Church St , Conway , SC , 29526",33.85278,-79.0754414,N/A,,0
"Detricks Glenforest , 1036 Glenforest Rd , Myrtle Beach , SC , 29579",33.7547775,-78.9635923,Detrick's Car Wash,2.14504588007189,2
"Diamond Express , 1801 Lander Ave , Turlock , CA , 95380",37.475985,-120.8494004,Fast Track Car Wash,,0
"Dickys Bluffton , 1930 N Main St , Bluffton , IN , 46714",40.7705245,-85.166528,Dicky's Express Car Wash,0.18689808807049,1
"Dickys Decatur , 1022 S 13th St , Decatur , IN , 46733",40.818633,-84.939277,Dicky's Express Car Wash,0.705831527109941,1
"Dickys Huntington , 2600 Walmart Dr , Huntington , IN , 46750",40.898213,-85.5135535,Dicky's Express Car Wash,0.145850277172852,1
"Dog House Auto Spa , 731 W Rogers Blvd , Skiatook , OK , 74070",36.3682186,-96.0117013,Dog House Auto Spa,0.157739606778913,1
"EXPRESS AUTO WASH , 7167 NY-54 , Bath , NY , 14810",42.3490756,-77.3089603,Express Auto Wash,,0
"Eastlake , 13509 Eastlake Blvd , El Paso , TX , 79928",31.6986017,-106.2213483,Champion Xpress Carwash,1.76766090477841,2
"Edge Express Garner , 4717 NC-42 , Garner , NC , 27529",35.6108709,-78.5531604,Edge Express Car Wash,0.214478452411916,2
"Edge Express Shelby , 925 E Dixon Blvd , Shelby , NC , 28152",35.2744626,-81.5270426,Edge Express Car Wash,0.239047184284029,1
"Edge Express Shelby 2 , 1696 E Dixon Blvd , Shelby , NC , 28152",35.2728672,-81.5051658,Edge Express Car Wash,1.41545318256533,1
"Edgewood , 3 NM Hwy 344 , Edgewood , NM , 87015",35.1482669,-106.1914196,N/A,,0
"Elks Edge , 547 CC Camp Rd , Elkin , NC , 28621",36.2787554,-80.8330241,Elks Edge Express Wash,0.195443156296356,1
"Espanola , 1319 N Riverside Dr , Espanola , NM , 87532",36.0111124,-106.0636052,Champion Xpress Carwash Española,0.364859151135571,1
"Express Wash Kissimmee , 1095 Amber Pointe Blvd , Kissimmee , FL , 34744",28.280829,-81.344289,Express Wash on Irlo,2.46952268461179,1
"Express Wash Lakeland , 5430 Florida Ave S , Lakeland , FL , 33813",27.9665149,-81.9645933,Express Wash on Florida,2.32255564112805,2
"FASTLANE EXPRESS CAR WASH , 924 E 30th Ave , Hutchinson , KS , 67502",38.087,-97.9111,Fastlane Express Car Wash,1.57638796279697,1
"FLAVO_N.Hwy27 , 1101 US-27 , Avon Park , FL , 33825",27.608686,-81.515066,El Car Wash - Avon Park,0.165546862106119,1
"FLLAK_Hwy27 , 23461 US-27 , Lake Wales , FL , 33859",27.9519851,-81.6185727,El Car Wash - Lake Wales,2.51821190056383,1
"Fairborn Car Wash , 1052 Kauffman Ave , Fairborn , OH , 45324",39.8098171,-84.0258805,Wash it Dean,3.01590821159058,1
"Fairhope , 20310 AL-181 , Fairhope , AL , 36532",30.521774,-87.8517334,Mach-1 Express Wash Fairhope,0.150063839202429,1
"Fast Pass Car Wash , 638 North H Street , Lompoc , CA , 93436",34.6486028,-120.4570624,Fast Pass Car Wash Inc,1.1044548576255,1
"Fenton , 3709 Owen Rd , Fenton , MI , 48430",42.7891069,-83.7442545,Drip Car Wash,0.214138914671947,1
"Fernandina Beach , 474339 SR 200 , Fernandina Beach , FL , 32034",30.61808,-81.514613,LUV Car Wash,1.18490334663044,1
"Fine N Shine , 1304 TX-121 , Bonham , TX , 75418",33.5867548,-96.1921253,Fine 'N Shine Carwash,0.67641090984069,1
"Five Star Boone , 1200 Blowing Rock Rd , Boone , NC , 28607",36.2034723,-81.6668446,5 Star Express Car Wash,0.596025234044078,1
"Five Star Statesville , 117 Turnersburg Hwy , Statesville , NC , 28625",35.8085295,-80.8764773,5 Star Express Car Wash,0.4362994898892,1
"Fleming Island , 1725 Eagle Harbor Pkwy , Fleming Island , FL , 32003",30.1027697,-81.7048645,LUV Car Wash,0.318504977262458,2
"Flex Wash , 1285 U.S. 31 N , Petoskey , MI , 49770",45.3896578,-84.9129299,Flex Wash,4.01854196082114,1
"Florence , 2339 David H McLeod Blvd , Florence , SC , 29501",34.1874969,-79.8197635,Caliber Car Wash,0.33799748346921,2
"FoamWorks Brunswick , 5200 Altama Ave , Brunswick , GA , 31525",31.2061049,-81.4822407,FoamWorks Auto Spa of Brunswick,0.505535416429252,1
"FoamWorks Cordele , 1305 16th Ave E , Cordele , GA , 31015",31.9624515,-83.7617001,FoamWorks Auto Spa of Cordele,0.135518402212598,1
"FoamWorks Hartley Bridge , 4701 Hartley Bridge Rd , Macon , GA , 31216",32.744358,-83.725563,FoamWorks Auto Spa of Hartley Bridge Macon,4.50328647361386,1
"FoamWorks Lithia Springs , 369 Westfork Ct , Lithia Springs , GA , 30122",33.7942326,-84.633738,FoamWorks Auto Spa of Lithia Springs,2.31259887688673,1
"FoamWorks Riverside , 4780 Riverside Dr. , Macon , GA , 31201",32.9217734,-83.7107966,FoamWorks Auto Spa of Riverside,3.91570016163398,1
"FoamWorks Thomaston , 5551 Thomaston Rd. , Macon , GA , 31220",32.8344408,-83.742574,FoamWorks Auto Spa of Thomaston Rd Macon,2.24633933444686,2
"FoamWorks Vidalia , 203 Rigsbee Dr , Vidalia , GA , 30474",32.2110446,-82.3949092,FoamWorks Auto Spa of Vidalia,2.02346891906321,1
"Forest City , 157 Plaza Dr , Forest City , NC , 28043",35.3341532,-81.8970099,Mach-1 Express Wash Forest City,0.149247226687196,1
"Fort Smith - Highway 71 , 12114 US-71 , Fort Smith , AR , 72916",35.2690562,-94.3700276,Splash Car Wash,4.630727697947,1
"Fort Smith - Massard Rd , 5800 Massard Rd , Fort Smith , AR , 72903",35.3260818,-94.3415391,Splash Car Wash,1.66195855617987,2
"Fresh Wash - Braselton , Exchange Way , Braselton , GA , 30517",34.1223755,-83.7642661,PC Fresh Wash,,0
"Ft Walton -Beal , 794 Beal Pkwy NW , Fort Walton Beach , FL , 32547",30.446616,-86.63932,Caliber Car Wash,0.409579139040646,1
"GAWOO_Eagle , 2907 Eagle Dr , Woodstock , GA , 30189",34.113012,-84.5571699,Zips Car Wash,1.57994691262351,2
"Galesburg , 334 E Carl Sandburg Dr , Galesburg , IL , 61401",40.9761518,-90.3654388,Champion Xpress Carwash,0.453411424776949,1
"Gallup 49 , 1060 US-491 , Gallup , NM , 87301",35.5382265,-108.7581009,Champion Xpress Carwash,0.928624612263678,1
"Gallup 66 , 1300 E Historic Hwy 66 , Gallup , NM , 87301",35.529778,-108.7220066,Champion Xpress Carwash,2.62183368829036,1
"Gardendale , 420 Fieldstown Rd , Gardendale , AL , 35071",33.6522172,-86.8173304,Mach-1 Express Wash Gardendale,0.474751442555294,1
"Georgetown , 20945 N Dupont Blvd , Georgetown , DE , 19947",38.6892922,-75.3972612,Mach-1 Express Wash Georgetown,0.992928461619408,1
"Go Clean Car Wash Eufaula , 1 Veteran Blvd , Eufaula , AL , 36027",31.842735,-85.1676913,Go Clean Car Wash,0.205652584530125,1
"Go Clean Mobile City , 6658 Mobile Hwy , Pensacola , FL , 32526",30.4763011,-87.3079223,Go Clean Car Wash,3.19917496136448,2
"Go Clean Monroe , 3218 N Monroe St , Tallahassee , FL , 32303",30.4864428,-84.3167069,N/A,,0
"Go Clean Pensacola , 8897 Pensacola Blvd , Pensacola , FL , 32534",30.5263517,-87.2756117,Go Clean Car Wash,0.213400992274192,1
"Granite Falls , Riverbend Club Point , Granite Falls , NC , 28630",35.7892015,-81.3806659,N/A,,0
"Great North Auto Wash , 2701 N Lincoln Rd , Escanaba , MI , 49829",45.780323,-87.0842742,Great North Auto Wash,1.91489658017993,1
"Greenbrier - S Broadview St , 98 S Broadview St , Greenbrier , AR , 72058",35.2228379,-92.3876296,Splash Car Wash,,0
"Grime Scene , 513 TX-114 , Levelland , TX , 79336",33.5944716,-102.3586622,Grime Scene Car Wash Levelland,0.189398918601211,1
"Gwatzilla Car Wash , 1701 T P White Dr , Jacksonville , AR , 72076",34.8820519,-92.1105156,Gwatzilla Wash-N-Lube,0.222333229402078,1
"H2GLO CAR WASH , 1905 Electric Rd , Cave Spring , VA , 24018",37.2475657,-80.0346677,H2Glo carwash,4.18895073225358,1
"Hall of Fame Carwash , Gateway Blvd , Leland , NC , 28451",34.213539,-78.0197913,Hall of Fame Car Wash,0.317582522152803,1
"Hampstead , 38 Dan Owen Dr , Hampstead , NC , 28443",34.3656598,-77.7116709,Caliber Car Wash,,0
"Happy Car Wash Albany , 527 NW North Albany Rd , Albany , OR , 97321",44.6428313,-123.1126361,Happy's Drive Thru Car Wash,3.2119227583095,1
"Hercules/Elite Care Auto , 1401 Lexington Ave , Mansfield , OH , 44907",40.72053,-82.5435665,Hercules Express Wash,2.70723065596117,2
"Hernando , 2660 McIngvale Rd , Hernando , MS , 38632",34.8209976,-89.9712562,Century Express Carwash,0.199291307382301,1
"Heroes Car Wash Asheville , 2000 Hendersonville Rd , Asheville , NC , 28803",35.4858828,-82.5247986,Heroes Car Wash,1.9096470918026,2
"Heroes Express 6050 , 6050 Wade Hampton Blvd , Taylors , SC , 29687",34.9354072,-82.2761998,Car Wash Heroes,3.68518591467655,2
"Heroes Express Pleasantburg , 3107 N Pleasantburg Dr , Greenville , SC , 29609",34.8869993,-82.3956837,Hurricane Express Wash,3.88429453476803,2
"Heroes Express Salisbury , 1420 E Innes St , Salisbury , NC , 28146",35.6543588,-80.4565091,Heroes Car Wash,0.555665125558044,1
"Howell 2 , 4550 E Grand River Ave , Howell , MI , 48843",42.5818921,-83.8629198,Drip Car Wash,0.797076553239557,1
"Huntsville , 1020 Pear Drive , Huntsville , TX , 77320",30.7189698,-95.5677495,Clean Car Wash,0.394601778943526,1
"I-91 Express Wash , 168 Bridge St , East Windsor , CT , 6088",41.9312928,-72.606885,Optimo Car Wash,0.821181797174481,1
"In and Out , 1430 N U.S. Hwy 41 , Ruskin , FL , 33570",27.7311395,-82.4344133,In & Out Express Carwash,,0
"In-N-Out Car Wash , 12883 US-68 , Kenton , OH , 43326",40.6332275,-83.6155622,IN-N-OUT Car Wash,2.34905743743333,1
"Indian Harbour , 600 E Eau Gallie Blvd , Indian Harbour , FL , 32937",28.1389437,-80.5905792,Caliber Car Wash,,0
"JC AUTO WASH , 701 S Dewey St , North Platte , NE , 69101",41.127653,-100.762632,J C's Autowash & Quick Lube,0.532470260987247,1
"JJ Express Car Wash , 2185 US-70 , Thatcher , AZ , 85552",32.8380212,-109.7363483,J J Express Car Wash,0.502032135712164,1
"JJ's Car Wash Dickinson , 404 FM 517 W , Dickinson , TX , 77539",29.4452705,-95.0838394,JJ’s Car Wash - Dickinson,1.74958698735663,2
"JJ's Car Wash Friendswood , 2221 W Parkwood Ave , Friendswood , TX , 77546",29.4855535,-95.2153615,"JJ's Car Wash - Friendswood, TX",4.32409462452878,2
"Jallo - Land O Lakes , 15474 State Rd 52 , Land O' Lakes , FL , 34638",28.330187,-82.5597081,Links Car Wash,,0
"Jammin Car Wash , 21356 Walmart Way , Lutz , FL , 33548",28.1769847,-82.4647521,Jammin Car Wash,0.243256711961373,1
"Jet Express Carwash , 1501 S Main St , Blacksburg , VA , 24060",37.213749,-80.3998376,Jet Express,3.92546092173937,1
"Jet Express Franklin , 1121 Georgia Rd , Franklin , NC , 28734",35.158971,-83.392801,Jet Express Car Wash,1.5934676328011,1
"Jim Wood Washland , 1925 Silver City Hwy NW , Deming , NM , 88030",32.282669,-107.759936,Slash 77 Car Wash,1.14000869618726,1
"Joe's Premium Car Wash , 1905 E Robertson Blvd , Chowchilla , CA , 93610",37.126561,-120.2444694,Joe's Premium Car Wash,,0
"John's Auto Spa Nappanee , 2000 E. Market St , Nappanee , IN , 46550",41.4430698,-85.9784108,John's Auto Spa,,0
"KUHNSVILLE CAR WASH , 5627 Tilghman St , Allentown , PA , 18104",40.5927909,-75.5866384,Kuhnsville Car Wash,2.7124955269939,1
"KWIK CAR WASH , 4000 Catnip Hill Rd , Nicholasville , KY , 40356",37.9290658,-84.5501918,bp,2.16502079894571,2
"KYLOU_CaneRun , 4860 Cane Run Rd , Louisville , KY , 40216",38.1806517,-85.8589994,Zips Car Wash,,0
"KYWIN_Codella , 160 Codella Dr , Winchester , KY , 40391",37.9897787,-84.2095068,Zips Car Wash,0.177275318797522,1
"Kennesaw , 1585 Crater Lake Dr , Kennesaw , GA , 30152",33.9969501,-84.5907868,Dirty Dog's Car Wash Kennesaw,2.470779982807,2
