full_site_address,Latitude,Longitude,new_latitude,new_longitude,carwash_name_in_image,classification,justification
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,36.7325312,-88.6330322,STONEWASH CAR CARE CENTER,Less than 15 cars,"At zoom-20 the only dedicated queue for the Stonewash Car Care wash is the single short drive from the Paris Rd curb cut into the small entrance canopy – roughly 15–20 m long, or about 3–4 standard (5 m) car lengths. There are no parallel staging lanes, overflow bays or additional tunnels tied to this entrance (the large lot and wash bays north of the building belong to a different business). Customer parking stalls to the south and east are not used for queueing, so total stack-up capacity is well under 15 cars."
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,34.4211501,-103.1969689,A-Key Car Wash,Less than 15 cars,"At zoom 20 it’s clear there is only a single entry lane wrapping from the curb‐cut on Prince St into the wash. Measuring by car lengths (~5 m each), the straight run from the street to the infeed is about 6–7 car lengths, with room for maybe another 1–2 cars through the slight curve—totaling under 10 cars. There are no parallel or overflow lanes alongside the building, only the one queue on the east side. Therefore the waiting area cannot accommodate fifteen full-sized vehicles bumper-to-bumper."
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,32.6003451,-93.841208,,Less than 15 cars,"At zoom-20 we can see there is only a single drive-up lane feeding the wash building (the curved lane off the street) and a short wrap-around spur behind it.  Estimating a full-size car at ≈5 m, the inbound leg holds about 8 cars bumper-to-bumper before the building entrance, and the rear return spur adds another 3–4 cars.  There are no additional parallel queuing lanes or overflow bays dedicated to stacking, and the vacuum stations at the side are not part of the entry queue.  Total capacity is therefore under 15 vehicles."
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",31.9858522,-81.1330952,31.9856125,-81.1327189,LUV Car Wash,Less than 15 cars,"At Zoom 20, the only dedicated pre-wash queue is the two short pay lanes under the small gabled canopy on the south side of the wash tunnels.  Measuring end-to-end from the property entrance (at the curb cut off Abercorn) back to the face of the pay canopy is roughly 45 m – about nine 5 m car-lengths in a single lane.  Although there are two parallel pay lanes, each holds only about 5–6 cars before the merge; together they accommodate at most 10–12 cars.  There are no additional overflow bays or extended spill-out lanes intended for queuing, so the total stack-up capacity is under fifteen cars."
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,33.2331449,-86.81162959999999,Alabaster Car Wash,Less than 15 cars,"At zoom-20 resolution we can see two serpentine queue lanes feeding the wash entrance on the building’s east side.  Using a 5 m-per-car rule of thumb (one car length ≈5 m):

• Outer loop: approximately 20–25 m of continuous queuing space (4–5 car lengths).
• Inner loop: about 15–20 m long (3–4 car lengths).

No additional overflow bays or long straight-in lanes are present. Summing the two parallel serpentine queues yields roughly 8–10 total car-lengths of capacity – clearly under the 15-car threshold."
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,35.1891633,-106.616062,Champion Xpress Carwash,15 or more cars,"The dedicated ingress lane begins at the driveway on Alameda Blvd, runs north up the east side of the tunnel building (roughly 20 m long, about 4 car‐lengths), then turns west behind the building and continues for about 80 m (roughly 16 car‐lengths) before reaching the wash entrance. Even conservatively splitting that rear stretch into 60 m (12 cars) plus the 20 m side leg (4 cars) gives a total queuing space of at least 16 cars. This exceeds the 15-car threshold."
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,37.4765318,-105.8944942,Champion Xpress Carwash,Less than 15 cars,"I traced the single entry queue from the curb cut off Craft Drive all the way around to the two wash‐bay conveyors on the north side of the building.  Breaking it into three segments:  (1) the straight approach from the curb cut into the curved apron is about 20 m long (≈4 car lengths), (2) the semicircular hold‐point in the padded apron west of the curb cut is about 15 m (≈3 cars), and (3) the final straight run right up to the twin conveyors measures roughly 30 m end to end (≈6 cars).  Even if you split that last segment into the two parallel lanes in front of each bay, the total bump-to-bumper capacity sums to about 13 cars – under the 15-car threshold."
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",32.2284801,-101.4727633,32.2284353,-101.473089,All American Car Wash,Less than 15 cars,"At zoom-20 resolution the only queuing space is the short, 15–20 m dirt access spur immediately behind the red marker – roughly 3–4 car-lengths (5 m per car) end-to-end. There are no parallel holding lanes or overflow bays, and the curved drive around the wash appears to be the exit route, not an entry queue. In total, the visible stack-up area holds fewer than fifteen full-sized vehicles, so it classifies as “Less than 15 cars.”"
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,29.7768476,-98.726846,All American Car Wash,Less than 15 cars,"At Zoom 20 you can clearly see only one continuous queuing lane hugging the east side of the building from the red‐dot entrance, curving around to the wash bay. Measuring that lane end-to-end gives roughly 60–65 m of usable stacking space. At an average full-size car length of 5 m, this equates to about 12–13 cars bumper-to-bumper. There are no parallel or overflow lanes adding extra capacity, so the total stack-up is under 15 cars."
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,38.6808632,-87.5201897,All American Car Wash and Express Lube,Less than 15 cars,"At zoom-20 resolution the wash has only a single short entry lane leading into the tunnel bay under the south‐side canopy. From the street curb to the mouth of the tunnel is roughly 25 m, or about five standard (5 m) car lengths. There is no parallel overflow queue or secondary spur that adds significant length – the adjacent vacuum island (the circular painted area) holds 2–3 cars but is clearly separate from the wash entry. Altogether the dedicated queuing space totals fewer than 15 bumper-to-bumper vehicles."
